Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"Une incohérence constaté sur le suivi de sock par article ''Stock après chaque mouvement''",OD-1973,OBCS-6643
"Un message d'erreur s'affiche à l'édition d'un accès utilisateur.",OD-1972,OBCS-6639
"Impossible d'enregistrer un bon de livraison : Bien que le bon de commande soit validée, il ne se déverse pas au moment de faire le bon de livraison",OD-1971,OBCS-6625
"Les catégories de sous-projets ne se déverse pas en fonction de l'entité selectionnée",OD-1970,OBCS-6599
"Les formulaires du stock sont très lent à s'ouvrir",OD-1969,OBCS-6598
"Filtrer sur les clients à rappeler",OD-1967,OBCS-6593
"Identifier les clients à rappeler et marquer la date et l’heure de rappel",OD-1966,OBCS-6592
"Rendre paramétrable les champs du formulaire de création d'un nouveau contact",OD-1964,OBCS-6590
"Simplifier l'ergonomie (mise en page) de l'historique des contacts",OD-1963,OBCS-6589
"Rendre paramétrable les champs du formulaire de création d'un nouveau prospect",OD-1962,OBCS-6588
"Ajouter le champ fonction dans le sous formulaire interlocuteur se trouvant dans les formulaires prospect et client",OD-1960,OBCS-6586
"Corriger les doublons dans la liste des secteurs dans le champ Secteur d'activité dans le formulaire de création d'un prospect",OD-1959,OBCS-6585
"Mettre un espace entre taille de l'entreprise et source dans le formulaire de création d'un prospect",OD-1958,OBCS-6584
"Agrandir l'espace d'enregistrement des notes dans ""Activité Etape"" dans la gestion des opportunités",OD-1956,OBCS-6582
"Ajouter ""Mailing"" dans le champ Type d'intéraction",OD-1955,OBCS-6581
"Ajouter une nouvelle note dans le formulaire de création d'une activité",OD-1954,OBCS-6580
"Enlever le champ Échéance lorsque Type d'activité n'est pas Tâches ni Evenement. Rendre le champ facultatif",OD-1953,OBCS-6579
"Enlever les champs Progrès et Priorité lorsque le Type d'activité n'est pas Tâches",OD-1952,OBCS-6578
"Enlever le lieu champ quand activité est phoning",OD-1951,OBCS-6577
"Supprimer le champ catégorie dans le formulaire de création d'une activité",OD-1950,OBCS-6576
"Lier le calendrier des activités/Tâches à son calendrier Google/Outlook…",OD-1949,OBCS-6575
"Donner la possibilité de voir la photo sur le formulaire de contact , dans la liste des contacts (l'historique) et changer le design des bloc de contacts",OD-1948,OBCS-6574
"Enlever le champ ""TYPE"" dans le formulaire de création d'un nouveau contact",OD-1947,OBCS-6573
"Impossible d'enregistre un fichier du personnel - Message d'erreur",OD-1946,OBCS-6572
"Génération des rapports sur les Véhicules & flottes",OD-1945,OBCS-6571
"A l'enregistrement d'une opération liée à la comptabilité, afficher systématiquement le numéro d'imputation dans la notification ''Enregistrement effectué avec succès''",OD-1944,OBCS-6570
"Intégrer des sous totaux par famille d'immobilisation à l'exportation du tableau d'amortissement.",OD-1943,OBCS-6569
"Le stock disponible à l'enregistrement d'une expression de besoin est différent du stock disponible à l'enregistrement d'un bordereau de sortie de stock.",OD-1942,OBCS-6568
"A l'affichage du détail de bon de commande avant validation le projet ne se déverse pas",OD-1941,OBCS-6567
"Erreur Ajax lors de l'importation de prospects dans le CRM",OD-1940,OBCS-6565
"Opération/Gestion de stock/Bordereau d'entrée: Créer la fonctionnalité import pour le stock initial.",OD-1939,OBCS-6564
"Dès qu'on clique sur la fonctionnalité ""Fichier du personnel"" sur la base test (OACI), on a un message d'erreur (voir pièce jointe)",OD-1938,OBCS-6563
"Mise en lien entre OBC et la plateforme Marketing pour les vidéos",OD-1937,OBCS-6562
"Mettre à jour le simulateur de paie selon la nouvelle réforme ITS",OD-1936,OBCS-6513
"Un message d'erreur apparait lors de la programmation de salaire",OD-1935,OBCS-6511
"Toutes les rubriques d'impôts n'apparaissent pas à cause de doublon constaté dans l'identification des impôts et taxes",OD-1934,OBCS-6510
"Impossible d'extraire les Timesheet",OD-1933,OBCS-6509
"Intégration des bulletins de paie des journaliers",OD-1932,
"Lenteur affichage données - Congés et autres absences",OD-1931,
"Impossible d'extraire les opportunités d'OBC",OD-1930,
"Ajout d'un loader pour toutes les actions dans OBC",OD-1929,OBCS-6508
"Message d'erreur au chargement de la fonctionnalité opération de caisse",OD-1928,OBCS-6507
"Message d'erreur à l'enregistrement d'une annulation de demande d'absence et congés",OD-1927,OBCS-6505
"Rajouter des liens derrière chaque Section afin de rediriger l'utilisateur dans le contrat de l'employé",OD-1926,OBCS-6499
"La quantité de stock s'affichant à l'enrengistrement d'un bordereau de sortie est différente de la quantité du stock au niveau du suivi de stock",OD-1925,OBCS-6498
"Certains journaliers ayant leur contrat actif et staffé sur un projet ne se deverses pas lors de l'enregistrement des heures travaillées des journaliers",OD-1924,OBCS-6497
"Message d'erreur - Affichage fichier du personnel",OD-1923,OBCS-6494
"Impossible d'enregistrer le stock initial d'un article lorqu'un autre article contien un stock initial dans le même magasin.",OD-1922,OBCS-6493
"Données pointage absent",OD-1921,OBCS-6492
"Dysfonctionnement Pointage journalier",OD-1920,OBCS-6491
"Un message d'erreur s'affiche à l'importation du fichier d'immobilisation",OD-1919,
"Donner la possibilité de calculer la paie pour un et un seul employé.",OD-1918,OBCS-6455
"Intégration chèque certifié",OD-1916,OBCS-6443
"Liaison de plusieurs factures à un bon de commande impossible !",OD-1915,OBCS-6441
"Mauvais déversement de la liste des employés lors du staffing",OD-1914,OBCS-6440
"Intégration rapport de paie journalier (Côte d'Ivoire)",OD-1913,
"Suppression pointage Impossible",OD-1912,OBCS-6439
"Exporter le modèle d'ordre de virement en Vrac",OD-1911,OBCS-6436
"Donner la possibilité de sélectionner plusieurs employés pour l'ordre de virement",OD-1910,OBCS-6435
"Suppression groupé de programmation des salaires",OD-1909,OBCS-6434
"Un message d'erreur s'affiche à l'enregistrement d'une programmation de règlement de facture fournisseur",OD-1908,OBCS-6433
"Temps de chargement de données long",OD-1907,OBCS-6430
"L'article amorti et ou au rebus n'apparait plus dans le tableau d'amortissement",OD-1906,OBCS-6429
"Il y a une lenteur de chargement de plus de 5 minutes lorsqu'on sélectionne un type de rapport dans le livre de paie général",OD-1905,OBCS-6428
"Un article affiche un stock théorique négatif dans le suivi de stock",OD-1904,OBCS-6427
"Impossible de modifier et de supprimer une affectation",OD-1900,OBCS-6425
"Duplication Type staffing",OD-1899,OBCS-6424
"Le prix unitaire récupéré pour les articles à afficher dans l'analytique ""Audit projet (état stock)"" est différent du récapitulatif du suivi de stock dans le module opérations gestion de stock",OD-1898,OBCS-6423
"A l'enregistrement d'une opportunité, alerter sur la non définition des étapes d'un type de pipeline",OD-1897,OBCS-6422
"Un séparateur de milliers à mettre dans les fonctionnalités avec des montants à renseigner et/ou à récupérer",OD-1896,OBCS-6421
"Changer l'emplacement de l'entité et du type pipeline",OD-1895,OBCS-6420
"Filtrer par entité au niveau de l'historique et du formulaire de création",OD-1894,OBCS-6419
"Type pipeline à lier à OACI",OD-1893,OBCS-6418
"Lenteur édition et enregistrement absence",OD-1892,OBCS-6415
"Mauvais Affichage quand on clique sur le bouton détails puis fermer",OD-1891,OBCS-6412
"La prime d'ancienneté n'est pas calculée sur la paie du mois de Juillet. Alors qu'il avait été calculée en Juin",OD-1890,OBCS-6378
"Impossible de valider le pointage effectué puisque qu’aucune donnée n’est accessible.",OD-1889,
"Chevauchement de donner - Historique pointage (Module RH)",OD-1888,
"Lorsqu’on modifie une facture vente on constate la mise à jour des écritures dans l’historique des imputations. Par contre l’ancienne écriture demeure sur le grand livre en plus de la modification.",OD-1887,OBCS-6377
"Page d'erreur lors du chargement de la fonctionnalité ""Gestion des tâches""",OD-1886,OBCS-6376
"Edition de contrat Impossible",OD-1885,OBCS-6375
"Calcul de Salaire journalier  - Par pointage",OD-1884,OBCS-6374
"Possibilité de faire un filtre sur les paiements en attente par entité lorsque plusieurs entités sont activées.",OD-1883,OBCS-6372
"Champ renseigné vide à l'édition des contrats des journaliers",OD-1882,OBCS-6371
"Aucune donnée enregistrée dans l'historique des heures travaillées des journaliers",OD-1881,OBCS-6370
"Lenteur lors de l'édition d'une expression de besoin",OD-1880,OBCS-6368
"Intégration de modèle d'ordre de virement",OD-1879,OBCS-6367
"A l'édition d'un livre de paie sur plusieurs mois RICF est multiplié par le nombre de mois sans tenir compte des mois auquels le salarié a été considéré dans la paie.",OD-1878,OBCS-6363
"A la génération du RAN ajouter dans le mode de récupération de la balance antérieur ''écritures non lettrées''.",OD-1877,OBCS-6359
"Lenteur Module RH",OD-1876,
"Possibilité de lier la factures annexe à plusieurs factures cibles pour le calcul du cout de revient",OD-1875,OBCS-6329
"Notifications OBC - Donner la possibilité de désactiver les notifications dans la boite mail",OD-1873,OBCS-6327
"Reprise des données des phases et tâches",OD-1872,OBCS-6323
"Donner la possibilité de filtrer par salaire net / Montant",OD-1871,OBCS-6322
"Automatisation des majorations de stock de congés dans le stock de congés calculé",OD-1870,OBCS-6321
"Automatisation des immobilisations",OD-1869,OBCS-6320
"Certaines sorties de stock se sont multipliées. Pour un seul bordereau de sortie on constate dans le suivi de stock plusieurs lignes pour un même article.",OD-1868,OBCS-6307
"Possibilité de voir la liste des personnes cochées dans un workflow afin de pouvoir cocher les cases vides disponibles",OD-1867,OBCS-6306
"A l'enregistrement d'une opportunité, la liste déroulante des offres propose des offres différentes de celles existantes en historique de la fonctionnalité ""offre""",OD-1866,OBCS-6296
"A l'enregistrement d'une nouvelle opportunité , aucun type de pipeline ne se déverse",OD-1865,OBCS-6295
"Enlever ""Phoning"" de la liste déroulante ""Catégorie"" sur le formulaire 'activité""",OD-1864,OBCS-6289
" Annuler l'affichage popup des interfaces dans ""Gestion des portefeuilles""",OD-1863,OBCS-6286
"Rendre plus visible le bouton (+) sur les filtres",OD-1862,OBCS-6285
"Enlever les accès ""contrat de réservation BTP"" aux commerciaux de Onpoint",OD-1861,OBCS-6284
"Gestion des opportunités :Permettre que l'actualisation des onglets ne change pas l'interface des utilisateurs",OD-1860,OBCS-6282
"Corriger/Enlever les alertes 444/222 quand on édite une opportunité",OD-1859,OBCS-6280
"Filtrer les clients par entité dans ""Gestion des portefeuilles""",OD-1858,OBCS-6279
"Déplacer la fonctionnalité ""Nouvelle activité"" du sous-module ""Paramétrage"" vers le sous-module ""Activité commerciale""",OD-1857,OBCS-6277
"Corriger les doublons (Heure) existants sur sur le formulaire ""Détail de l'étape ",OD-1856,OBCS-6276
"Rendre possible la modification des étapes du SPANCO sans forcément arriver à ""ORDER""",OD-1855,OBCS-6275
"Impossible d'enregistrer un bon de commande avec pour type achat frais généraux sans choisir un article",OD-1854,OBCS-6239
"Mauvaise récupération de données de gratification pour la formule salaire brut",OD-1853,OBCS-6236
"Prise en compte Non effective des recherches via le filtre dans détails de validation du calcul de paie",OD-1852,OBCS-6232
"La récupération de certaines données lors de l'importation ""Contrat Employé"" n'est pas totale.",OD-1851,OBCS-6231
"A l'enregistrement d'un prospect à partir du formulaire de nouvelle opportunité, on a un message d'erreur",OD-1849,OBCS-6222
"Suppression impossible - Opération de caisse",OD-1848,OBCS-6218
"A l'édition et à la création d'une fiche offre, lorsqu'on clique sur ""fermer"", il y a une page blanche qui apparait ( voir capture)",OD-1847,OBCS-6217
"Sur le formulaire de ""opportunité"" ,les informations de la liste déroulante du champs ""offre"" ne sont pas ordonnées",OD-1846,OBCS-6216
"A l'enregistrement d'une opportunité dont le type de pipeline est ""vente directe"", on a un message d'erreur(voir pièce jointe)",OD-1845,OBCS-6215
"A l'édition d'une fiche offre, la page ne charge pas correctement (voir pièce jointe)",OD-1844,OBCS-6214
"Doublon de la pagination (voir capture joint)",OD-1843,OBCS-6213
"Avoir des alertes sur les timesheets",OD-1842,OBCS-6211
"Rapport d'activité OBC",OD-1841,OBCS-6210
"Mise à jour des stocks de congés pour l'année 2023",OD-1840,OBCS-6206
"Intégration de format de bon de commande",OD-1839,OBCS-6205
"Impossible d'enregistrer les TimeSheet",OD-1838,OBCS-6191
"Automatiser les processus de correction de la paie",OD-1837,OBCS-6155
"Non affichage de l'arrondi dans l'historique de la paie - Validation détail de la paie",OD-1836,OBCS-6154
"Trier les données de la balance comptable par journaux",OD-1835,OBCS-6153
"Actualiser le fichier csv d'import des prospects sur la base des récentes modifications",OD-1833,
"Extraction des activités enregistrées dans le CRM",OD-1829,
"Extraction des opportunités v2",OD-1828,
"Intégration de la formule Etat tva due tenant compte des encaissements clients et non des factures ventes",OD-1826,OBCS-6103
"Permettre l'impression des workflows de tous les processus",OD-1825,OBCS-6102
"Corriger la date des attestations de travail et prendre en compte le dernier poste occupé par l'employé",OD-1824,OBCS-6101
"Avoir la possibilité de saisir des mots clés lors du choix des natures de prestations sur les formulaires",OD-1823,OBCS-6100
"Corriger les doublons dans la récupération des salaires journaliers",OD-1822,OBCS-6099
"Filtrer par journal l'interrogation des comptes",OD-1821,OBCS-6098
"Rendre impossible la suppression des écritures déjà lettrées",OD-1820,OBCS-6097
"Intégrer l'option ""Approvisionnement"" des cartes électroniques",OD-1819,OBCS-6096
"Les types de staffing se déversent avec des doublons par phases",OD-1818,OBCS-6094
"Suppression de tous les journaux 2023",OD-1817,OBCS-5991
"Message d'erreur à l'enregistrement d'un compte client après modification de ce compte client",OD-1816,OBCS-5990
"Lorsqu'on veut rattacher le type de staffing à un projet et qu'on clique sur ""Utiliser les phases"", aucune donnée ne se déverse.",OD-1815,OBCS-5989
"Afficher le Numéro de Contrat sur le reçu d'encaissement",OD-1814,OBCS-5987
"Automatiser les numéros de pièces - Encaissement client",OD-1813,OBCS-5986
"Automatiser les numéros de pièces de paiement",OD-1812,OBCS-5985
"Duplication secteur d'activité - Fichier Client",OD-1811,OBCS-5984
"Absence de données enregistrées",OD-1810,OBCS-5979
"Impossible de valider les expressions de besoins et bons de commande",OD-1809,OBCS-5978
"Des postes comptable en doublons ayant générées les mêmes écritures (Les doublons à supprimer)",OD-1808,OBCS-5977
"Impossible de supprimer un compte client",OD-1807,OBCS-5976
"Non affichage de certaines rubriques de salaire dans la visualisation du livre de paie",OD-1806,OBCS-5975
"Importation des sous famille article - Le formulaire ne correspond pas au données à importer",OD-1805,OBCS-5974
"Impossible de calculer la paie",OD-1804,OBCS-5972
"Modèle de document : Enlever les entêtes et pieds de page",OD-1803,OBCS-5868
"Annuler la validation de l'inventaire du 30 Avril",OD-1802,OBCS-5836
"Aucune donnée n'apparait à l’enregistrement des impôts et taxes d'un mois à cause de la CN qui a été enregistrée plusieurs fois de suite",OD-1801,OBCS-5829
"Réinitialisation des valeurs stockées dans les variables",OD-1800,OBCS-5827
"Afficher les N° de poste comptable sur le journal de Paie",OD-1799,
"Journal de paie - Réajuster la taille du Logo de sorte a ce qu'il tienne sur une page",OD-1798,
"Refactoring + Impossible d'enregistrer une programmation lorsqu'un employé a un salaire avec le signe moins (-)",OD-1797,OBCS-5812
"Aucune donnée n'apparait à l'enregistrement des impôts et taxes d'un mois",OD-1796,OBCS-5811
"Non affichage des comptes clients dans le paramétrage compte client malgré les factures enregistrées",OD-1795,OBCS-5810
"Au niveau du suivi de stock le filtre ne tient pas compte du PUMP de la période sélectionnée mais il affiche toujours le dernier PUMP",OD-1794,OBCS-5807
"Modèle contrat à intégrer",OD-1793,OBCS-5805
"Le filtre au niveau des prospects ne fonctionne pas",OD-1792,OBCS-5804
"Lorsqu'on enregistre une nouvelle activité dans CRM chez un prospect dans gestion des opportunités,on reçoit 4 mails provenant de OBC Support pour la même activité. ",OD-1791,OBCS-5801
"Dysfonctionnement lors de la Modification d'un groupe employé",OD-1790,OBCS-5800
"Sur formulaire de l'offre ajouter dans la liste déroulante périodicité ''ONE SHOT''",OD-1789,OBCS-5795
"Impossible d'enregistrer un paiement fournisseur car les factures ne se déversent pas",OD-1788,OBCS-5793
"Eléments fixes vs éléments variables",OD-1787,OBCS-5790
"Edition compte client impossible",OD-1786,OBCS-5789
"Factures enregistrées ne s'affichant pas sur dettes fournisseurs",OD-1785,OBCS-5788
"Le livre de paie charge pendant longtemps et ne s'affiche pas",OD-1784,OBCS-5787
"Possibilité de transformer le debours en budget",OD-1783,OBCS-5441
"Dans le prévu-réalisé du budget ajouter une colonne appelé engagé qui va afficher les données des bons de commande de chaque ligne budgetaire.",OD-1782,OBCS-5440
"Intégrer dans le fichier import des prospects: Segment, Secteur d'activité, Latitude et Longitude",OD-1781,OBCS-5439
"Intégration Paiement par carte électronique",OD-1780,OBCS-5418
"Possibilité de retrancher des mois sur le mois d'ancienneté d'un Salarié",OD-1779,OBCS-5417
"Rajouter dans le formulaire Fichier employé, les champs tels que : Qualification, Nom du père et de la mère ...",OD-1778,OBCS-5416
"Mauvaise récupération de la civilité sur le certificat de travail",OD-1777,OBCS-5414
"A la validation d'une expression de besoin , on a une page blanche qui apparait (capture1) et lorsqu'on actualise la page , on a un message d'erreur (capture 2)",OD-1776,OBCS-5413
"Suppression de fichier du personnel impossible",OD-1775,OBCS-5412
"L'impôt brut avant RICF a disparu sur la paie de tous les employés",OD-1774,OBCS-5411
"Incohérence des données sur le nombre d'absence. Prise en compte de l'historique des absences.",OD-1773,OBCS-5410
"Etats financiers: Le compte materiel de transport ayant solde final debiteur n'affiche pas le montant au bilan",OD-1772,OBCS-5409
"Suppression facture vente impossible",OD-1771,OBCS-5408
"Un message d'erreur apparait lorsqu'on clique sur la fonctionnalité ""Enregistrer un décompte (voir capture)",OD-1770,OBCS-5407
"Donner la possibilité d'avoir l'état d'un compte client",OD-1769,OBCS-5406
"Impossible de supprimer des encaissements",OD-1768,OBCS-5405
"Avoir la possibilité d'exporter tous les Dashboard OBC",OD-1767,OBCS-3956
"Modèle de facture à intégrer",OD-1766,OBCS-3519
"Suppression des données de la base en déhors du paramétrage",OD-1765,OBCS-1933
"En historique de ""Etats immobilisation"" , les filtres ne tiennent pas compte de la base de données existants",OD-1764,OBCS-1440
"Dans l'historique des assignations , les filtres ne tiennent pas compte de la base de données existante",OD-1763,OBCS-1436
"A la modification d'une assignation ,OBC exige qu'on rattache un projet avant l'enregistrement (voir capture)",OD-1762,OBCS-1408
"La masse salariale s'affichant en historique du calcul ohada est différente du cumul des salaires bruts",OD-1761,OBCS-1381
"Fabien n'a pas accès à  ""Ajouter une activité"" (voir la pièce jointe) et il ne peux non plus rajouter de tâche.",OD-1760,OBCS-1380
"Lorsqu'on modifie une note dans une étape du SPANCO, on a le message d'erreur ""erreur ajax"" (voir pièce jointe)",OD-1759,OBCS-1379
"Lorsqu'on remplit le formulaire pour un compte, au moment de le valider, on a l'apparition d'un message d'erreur (Voir pièces jointes)",OD-1758,OBCS-1378
"Automatisation des paramétrages RH de Journaliers par pays",OD-1757,OBCS-1377
"Des postes comptable en doublon sur la balance avec des libellés 0",OD-1756,OBCS-1376
"Donner la possibilité d'effectuer un encaissement client à partir d'un contrat",OD-1755,OBCS-1375
"Stock de congés : Médaille d'honneur",OD-1754,OBCS-1374
"Le Taux cumulé exécuté dans l'enregistrement du décompte reste figé",OD-1753,OBCS-1373
"Avoir la possibilité d'imprimer les débours.",OD-1752,OBCS-1372
"Avoir la possibilité d'exporter les indivis en versions Excel.",OD-1751,OBCS-1371
"Avoir la possibilité d'insérer une liste déroulante au niveau des désignations dans l'enregistrement d'un indivis.",OD-1750,OBCS-1370
"Un doublon est constaté dans la saisie analytique",OD-1749,OBCS-1369
"Le montant total récupéré pour une facture import saisie se déverse dans le prévu réalisé du budget avec la devise étrangère et non locale",OD-1748,OBCS-1368
"Bug suivi de stock (Voir détail)",OD-1747,OBCS-1367
"Impossible de supprimer le site ""KDA COTONOU"" rattaché à l'entité KDA ",OD-1746,OBCS-1366
"Ne pas rendre obligatoire le champs ""commentaire"" à la validation des demandes",OD-1745,OBCS-1365
"Preprod : Serveur Error",OD-1744,OBCS-1364
"Export Journal général",OD-1743,OBCS-1362
"Ne pas arrondi les montants des valeurs étrangères lors de l'édition des bons de commandes,factures.....",OD-1742,OBCS-1361
"Assigner le personnel par type de staffing et attribuer automatiquement les tâches selon ce staffing",OD-1741,OBCS-1360
"Facture client / Devis client / Contrat client avec la TVA exonéré à intégrer sur OBC",OD-1740,OBCS-1359
"Impossible d'enregistrer un bordereau d'entrée car le code de bon affiché est un code ayant été déjà utilisé",OD-1739,OBCS-1358
"RH/Document/ Envoie des documents (Bulletin, Attestation,Certificat) dans la boîte email d'un utilisateur",OD-1738,OBCS-1315
"Suivi de stock: Un doublon constaté sur la sortie d'un article pour un seul bordereau de sortie",OD-1737,OBCS-1314
"Sur le formulaire de Phases, on a le libellé ""Phase"" en lieu et place de ""Tâche""",OD-1736,OBCS-1313
"CI : Prise en compte du nombre d'années d'ancienneté dans le stock de congés | Cas: Médaille d'honneur",OD-1734,
"Dashboards page Accueil (Vente, Achat, Dépenses)",OD-1733,OBCS-1312
"Server Error in '/' Application.",OD-1732,OBCS-1310
"A la génération de l'écriture, le compte tiers n'est pas généré.",OD-1731,OBCS-1309
"Griser la ligne description lorqu'il s'agit du Type Achat ou Type de vente Stock",OD-1730,OBCS-1308
"Quand on modifie un projet, les sous-traitants rattachés au projet sont différents de ceux apparaissant quand on clique sur ""détail"" (voir CAPTURE)",OD-1729,OBCS-1307
"Calcul des Arrondis automatique & Affichage dans le bulletin",OD-1728,OBCS-1304
"Audit projet ajouter une colonne les dates des bordereaux sur etats stocks",OD-1727,OBCS-1303
"Dashboard stock INVENTAIRE - Mise à jour",OD-1726,OBCS-1302
"Afficher les dates des borderaux dans suivi de stock par article",OD-1725,OBCS-1301
"Un message d'erreur apparait lorsque le formulaire du bordereau d'entrée s'affiche",OD-1724,OBCS-1300
"Ne pas rendre obligatoire la date fin réelle du projet à la création de celui-ci. Mais il peut être obligatoire lorsque le taux de réalisation est à 100%",OD-1722,OBCS-1298
"Donner la possibilité de faire des filtres au niveau d'audit projet",OD-1721,OBCS-1297
"Le solde du dashboard caisse ne correspond pas au solde réel de la caisse Wave OCGCI, mais il affiche le bon solde à l'extraction",OD-1720,OBCS-1296
"Rendre convivial la barre de défilement vertical du menu latéral gauche",OD-1719,OBCS-1295
"Mauvais déversement des données du résultat net de l'exercice au niveau de solde de démarrage des comptes",OD-1718,OBCS-1294
"Avoir la possibilité d'annuler une demande d'absence déjà valider dans le système et aussi, le bouton supprimer existe sur le formulaire mais pas dans le menu des accès",OD-1717,OBCS-1293
"Message d'erreur",OD-1716,OBCS-1292
"Lorsqu'on sélectionne sur la base de travail l'exercice 2019, 2020, 2021 et 2022 aucune donnée ne s'affiche dans l'historique des factures achats. Entité OCG",OD-1715,OBCS-1290
"En historique des projets, le filtre ""type de projet "" ne fais pas apparaitre les informations (voir capture)",OD-1714,OBCS-1289
"A la modification d'une demande d'absence, un message d'erreur apparait (voir capture)",OD-1713,OBCS-1288
"Mauvais déversement des données au niveau du nombre de congés dû dans les  bulletins de salaire",OD-1712,OBCS-1286
"L'historique de congés et autres absences affiche des employés non enregistrés et à la modification l'employé sensé être enregistré réapparait",OD-1711,OBCS-1285
"Un message d'erreur s'affiche lorsqu'on clic sur la fonctionnalité import sous famille d'article",OD-1710,OBCS-1284
"Bordereau de sortie: Les PUMP sont négatif sur certains articles",OD-1709,OBCS-1283
"Lorsqu'on veux affecter les journaliers sur les projets, les journaliers ne se deversent pas.",OD-1708,OBCS-1282
"L'orsqu'on édite plusieurs comptes de resultats et plusieurs bilans, Il récupère que le resultat du premier compte de résultat calculé quelque soit le bilan que l'on veut éditer",OD-1707,OBCS-1281
"La liste déroulante ""secteur d’activité"" est vide dans les fonctionnalités ""gestion des prospects"" et ""gestion des clients"" .",OD-1706,OBCS-1280
"Ajouter la colonne ""segment"" à l’historique dans les fonctionnalités ""gestion des prospects"" et ""gestion des clients"" afin de permettre un filtrage selon ce critère. ",OD-1705,OBCS-1279
"Le calendrier des notes de frais n'ordonne pas les semaines (voir capture )",OD-1704,OBCS-1278
"Ajouter une adresse LinkedIn cliquable pour chaque contact afin de faciliter la redirection vers leur contenu LinkedIn. (CRM>Gestion des contacts>Historique)",OD-1702,OBCS-1276
"Dans la fonctionnalité ""CRM > gestion des contacts > historique"", donner la possibilité de savoir directement à quel client appartient un contact.",OD-1701,OBCS-1275
"Il est impossible de différencier les prospects des clients sur la carte (map) dans ""CRM > Analytique > Onglet CLIENT"".",OD-1700,OBCS-1274
"A chaque fois qu'on clique sur le bouton ""Nouveau contrat"" à partir de l'historique des contrats, on a un message apparaissant(voir pièce jointe) et il est impossible de poursuivre",OD-1699,OBCS-1273
"Sur le contrat de stage, après avoir défini la date de début, il est impossible de saisir une date de fin. Il faut obligatoirement prendre le calendrier pour poursuivre",OD-1698,OBCS-1270
"Avoir la possibilité de joindre un fichier (PDF, Excel..) sur le formulaire de sortie de caisse ",OD-1697,OBCS-1269
"Lorsque je clique sur une opportunité (CRM > Gestion des opportunités) il est impossible de voir l'onglet offre (type général)",OD-1696,OBCS-1268
"Les personnes en sommeil devant recevoir juste l'information pour une demande , ont aussi la possibilité de donner leur accord ou non",OD-1694,OBCS-1266
"Impossible d'enregistrer un projet",OD-1693,OBCS-1265
"Données non récupérées (Export + historique)",OD-1692,OBCS-1264
"Faire la mise à jour du calcul ITS (Paie BENIN) selon le nouveau barème.",OD-1691,OBCS-1263
"Nous constatons un mauvais déversement de jours de congés qui reste figé malgré les taux, coefficients et nombre paramétrage de stock de congés dans la fiche de personnel changés d'un employé",OD-1690,OBCS-1262
"Message d'erreur - Enregistrement bordereau d'entrée lié à un stock initial",OD-1689,OBCS-1261
"Sur certaines listes, les tris par ordre ne s’appliquent que par page d’affichage. ",OD-1688,OBCS-1260
"Impossible de procéder à la validation d’un bordereau de retour",OD-1687,OBCS-1259
"Le magasin ne s’affiche pas dans l’historique des bordereaux de sortie",OD-1686,OBCS-1258
"Produire un état imprimable dans l’onglet rapport des sorties et entrées par type axe et axe analytique.",OD-1685,OBCS-1257
"Permettre le filtrage des demande de sortie par type axe et axe analytique.",OD-1684,OBCS-1256
"Ajouter ‘’Projet ‘’ dans la liste des motifs de sorties. Si possible inclure dans la nomenclature de la demande de sortie le code projet (Stock:Demande de sortie)",OD-1683,OBCS-1255
"Etablir un workflow pour la validation de demande de sortie avec deux étapes (une première par le Responsable et l’autre par le gestionnaire de stock)",OD-1682,OBCS-1254
"Les bons de livraison déjà entièrement rentrés dans le système figurent toujours dans la liste pour l’entrée dans le stock. (Stock: bordereau d'entrée)",OD-1681,OBCS-1253
"Sur le calcul de la paie lorsqu'on veut definir les éléments variable par reférence, aucun employé ne s'affiche",OD-1680,OBCS-1252
"Tous les secteurs d'activité se deversent dans le parametrage des grades en en plus ils sont dupliqué plusieurs fois",OD-1679,OBCS-1251
"Sénégal - Heure Supplémentaire : Revue de la formule",OD-1677,OBCS-1249
"Rajouter une fonction box pour faire apparaitre le solde de caisse sur dashboard projet",OD-1676,OBCS-1248
"Les filtres au niveau du journal général présente un dysfonctionnement",OD-1675,OBCS-1247
"Droit et accès utilisateur par entité (Module / S module / Fonctionnalité)",OD-1674,OBCS-1246
"Un message d'erreur apparait lors de la validation d'un bordereau de retour",OD-1673,OBCS-1245
"CI : Prise en compte du nombre d'années d'ancienneté dans le stock de congés | Cas: Nombre Année en entreprise",OD-1672,OBCS-1244
"Possibilité de modifier un encaissement client sur l'option ''Autre'' et prendre l'option facture",OD-1671,OBCS-1243
"Ne pas afficher toute la paie lorsque la paie est recalculée que pour certains employés mais afficher que ceux dont leur paie a été annulée et recalculée.",OD-1670,OBCS-1242
"Stock - bordereaux- Intégration filtre sur article",OD-1669,
"Rajout colonne ""Unité"" dans le fichier d'import",OD-1668,OBCS-1241
"Sénégal : Revue récupération salaire de base pour heure supplémentaire",OD-1667,OBCS-1240
"La liste de demande de sortie disponible dans le formulaire de bordereau de sortie fait apparaitre les demandes déjà utilisés",OD-1666,OBCS-1239
"Les informations du bordereau d'entrée, de sortie et retour ne se déversent que lorsque le site est décoché et recoché à nouveau",OD-1664,OBCS-1237
